Номенклатура;КодНоменклатуры;Склад;Количество;Сумма
1225-6РК Ремень поликлиновой ГАЗ, УАЗ с дв. 406 без ГУР (406-1308020-10)(ООО ПРАМО);013270     ;Конычев О.В.;1;755.3
Тахоспидометр МТЗ;00000000820;Конычев О.В.;1;1141.07
Прокладок двигателя ЯМЗ-238 с.о. (ЯЗТО) с манжетами (РЕМ. К-Т.);004471     ;Конычев О.В.;1;7488.96
Прокладка колпака СМД-14/22 (резинопробка);008158     ;Ткач И.И.;300;38737.33
Привод вентилятора 2-х руч. 238НБ стар. обр. (ЯЗТО);001663     ;Ткач И.И.;1;11272.47
4350 С(В) Ремень главн. контпривода Нива-СК-5 (РСМ 6201256) (Ярославль Премиум);009518     ;Ткач И.И.;5;15064.12
Втулка цапфы (верхняя) МТЗ (Ромны);00000001949;Ткач И.И.;100;57482.46
Датчик (термореле) включения вентилятора ЯМЗ (84-78 гр.С);008044     ;Склад бр Оберемко В.;1;845.72
Прокладка масл.картера МТЗ (к-т 2шт) (резинопробка);008160     ;Склад бр Оберемко В.;1;215.72
Диск ведущего вала (МЕТАЛЛОКЕРАМИКА) КПП К-700/701/744 (нар. зуб) 744Р.17.01.020;012127     ;Склад бр Оберемко В.;64;162214.4
ТНВД Д-260.4-658 Essil-740 /Палессе-812/ (ОАО ЯЗДА);012148     ;Склад бр Оберемко В.;1;183530.41
Хомут 25*40/9 Torro Norma;012434     ;Склад бр Оберемко В.;6;521.43
Прокладка привода вентилятора ЯМЗ-236/238 нов. обр. (ОАО Автодизель-ЯМЗ);010940     ;Склад бр Оберемко В.;1;135.87
Муфта вязкостная с крыльчаткой ЯМЗ-236НЕ2/236БК4/658/7511 Украина 660мм (ОАО Автодизель-ЯМЗ) ;010965     ;Склад бр Оберемко В.;2;95210.16
Муфта вязкостная с крыльчаткой ЯМЗ-236НЕ2/236БК4/658/7511 BORG WARNER 660мм (ОАО Автодизель-ЯМЗ) ;010966     ;Склад бр Оберемко В.;1;76189.05
Поршнекомплект Д-245 (турбо) 38 мм (Г+П+ПК+УК+СК) Кострома;008305     ;Склад бр Оберемко В.;1;11009.76
112 Подшипник;013866     ;Склад бр Оберемко В.;1;2466.96
Рым болт М10 РПН К-700А/701 WLL 0.23T;012482     ;Склад бр Оберемко В.;2;520
Регулятор напряжения интегр. 13,6в  (Энергомаш) ;00000007464;Склад бр Оберемко В.;2;0
Форсунка МТЗ (АЗПИ);000827     ;Склад бр Оберемко В.;1;5515.46
"Корпус подш-ка барабана измельчителя ""Енисей"" (А23.2.026-84)";001246     ;Склад бр Оберемко В.;1;13392.72
Шкив отбойного битера 6-ти руч. (d 475/355 мм)(с измельчителем)Дон 1500Б/Вектор /Украина/;009259     ;Склад бр Оберемко В.;1;30888
"Радиатор водяной К-700 с ЯМЗ-238НБ алюминий ""Композит""";007635     ;Склад бр Оберемко В.;6;680003.07
Шайба пружинная Д=10*20;008521     ;Склад бр Оберемко В.;1.5;1113.51
Шайба пружинная Д=12*20;011349     ;Склад бр Оберемко В.;0.2;147.07
Гайка М16 оцинк.;012765     ;Склад бр Оберемко В.;0.2;120.54
ТНВД 805.1111007-50 ЯМЗ-238НД5 (ОАО ЯЗДА) ;008450     ;Склад бр Оберемко В.;1;167120.04
Насос водяной Д442-57/59И Енисей (улитка) Украина;006877     ;Склад бр Оберемко В.;3;58517.5
Регулятор напряжения интегр. 24в Камаз-Евро (Энергомаш) ;006903     ;Склад бр Оберемко В.;1;581.25
Передача главная с дифференциалом 700А.23.02.000 (прямозубая);007571     ;Склад бр Оберемко В.;1;336941.97
Гидронасос НШ-71А3-Л (круглый левый) (Винница);009943     ;Склад бр Оберемко В.;1;27232.97
Прокладок КПП К-700/701 леаден 0,8мм (32 поз.) /АНТАЛЛ/ (РЕМ. К-Т.);009484     ;Склад бр Оберемко В.;1;1870.55
Фара рабочая лампа Н3, 12В (корпус пластм.) (Руслан);008767     ;Склад бр Оберемко В.;2;2294.95
Кран тормозной в сборе К-700/701 700.35.00.090-2 (НОВЫЙ);012312     ;Склад бр Оберемко В.;2;54290.18
Поршнекомплект ЯМЗ-7511 инд. ГБЦ ст. обр. (Г+П+УК+ПК) (ОАО Автодизель-ЯМЗ);007774     ;Склад бр Оберемко В.;1;13273.24
Гидроцилиндр вариатора оборотов барабана РСМ-10.0901.010А-03 Дон/Вектор/Акрос (Ростсельмаш);014945     ;Склад бр Оберемко В.;1;20693.54
"Радиатор масляный К-744Р1 в сборе ""Композит""";011499     ;Склад бр Оберемко В.;4;683443.52
Генератор ЯМЗ-238НБ/НД3 К-700А 12в 110А., аналог Г-287Е (ООО ПРАМО);006680     ;Склад бр Оберемко В.;1;25773.39
РВД  ключ 32  L=1,0 м. (г.Курск);008080     ;Склад бр Оберемко В.;3;2817.38
Шпилька М10Х1,5х39 ЯМЗ (ОАО Автодизель-ЯМЗ) ;012498     ;Склад бр Оберемко В.;2;391.23
Головка в сборе ЮМЗ;001876     ;Склад бр Оберемко В.;1;58923.04
Клапан нагнетательный в сборе МТЗ (Ногинск);006718     ;Склад бр Оберемко В.;4;2857.14
Шпилька М8;00000070040;Склад бр Оберемко В.;1;80
