Номенклатура;КодНоменклатуры;Склад;Количество;Сумма;Серия;КодСерии
Тест Ном, которой нет в Бух.;9044       ;Склад №1;2;0;2-xxx-чч;000000031
Трактор Беларус-892.2 (пр-во РБ);7553       ;Склад №1;1;0;566, Республика Беларусь;000000027
Трактор Беларус-80.1 (пр-во РБ);8612       ;Склад №1;1;0;566, Республика Беларусь;000000026
Трактор Беларус-952.2 (пр-во РБ);7265       ;Склад №1;2;0;2-111111111111111-;000000030
Трактор Беларус-952.2 (пр-во РБ);7265       ;Склад №1;1;0;566, Республика Беларусь;000000028
Кронштейн крепления гидроцилиндра ГОРУ МТЗ Ф80-3001011;3685       ;Склад №1;10;0;;
Датчик давления масла МТЗ нов. обр.(2 тонких шт.);00000007614;Склад №1;35;0;;
Шестерня привода ТНВД МТЗ  240-1006312-В;00000070013;Склад №1;1;0;;
Датчик температуры двигателя МТЗ нов. обр.;0728       ;Склад №1;20;0;;
Зеркало заднего вида МТЗ боковое 80-8201050;0885       ;Склад №1;16;0;;
Корпус дифф-ла заднего моста МТЗ-80/82;3060       ;Склад №1;1;0;;
Щетка стеклоочистителя с рычагом МТЗ (500мм);4142       ;Склад №1;30;0;;
Переключатель освещения клавишный МТЗ;4157       ;Склад №1;50;0;;
Радиатор отопителя МТЗ-80/82 УК (медь) (патрубки в разные стор.);5356       ;Склад №1;5;0;;
Стеклоочиститель МТЗ СЛ-230;5719       ;Склад №1;2;0;;
Термостат МТЗ, Д-245 Бычек, ПАЗ;00000007258;Склад №1;2;0;;
Тяга регулятора ПД-10;00000000678;Склад №1;42;0;;
Манометр (0-10атм) мех-й. (14.3830);00000000804;Склад №1;3;0;;
Реле-регулятор напряжения мех-й 12в (774.3702);00000000814;Склад №1;50;0;;
Манометр (0-16атм) мех-й.;00000001285;Склад №1;17;0;;
Термостат МТЗ (ТС-117-04);00000001950;Склад №1;50;0;;
Кран ВС-11;00000006613;Склад №1;150;0;;
Подшипник игольчатый саттелита ВОМ МТЗ ЗКК20-26-34Е;00000006631;Склад №1;20;0;;
Кран топливный ПП6-1/КР-25/МТЗ;00000006762;Склад №1;100;0;;
Подшипник игольчатый МТЗ ЗКК30-35-46Е;00000006804;Склад №1;90;0;;
Кольцо гильзы фторопластовое МТЗ;00000006854;Склад №1;500;0;;
Трактор Беларус-952.2 (пр-во РБ);7265       ;Склад №2 Жабский В.;6;0;2-111111111111111-;000000029
